ISO3,Country name,Region
TON,Tonga,East Asia & Pacific
TTO,Trinidad and Tobago,Latin America & Caribbean
TUN,Tunisia,Middle East & North Africa
TUR,Turkey,Europe & Central Asia
TKM,Turkmenistan,Europe & Central Asia
TCA,Turks and Caicos Islands,Latin America & Caribbean
TUV,Tuvalu,East Asia & Pacific
UGA,Uganda,Sub-Saharan Africa
UKR,Ukraine,Europe & Central Asia
ARE,United Arab Emirates,Middle East & North Africa
GBR,United Kingdom,Europe & Central Asia
USA,United States,North America
UMI,United States Minor Outlying Islands,
URY,Uruguay,Latin America & Caribbean
UZB,Uzbekistan,Europe & Central Asia
VUT,Vanuatu,East Asia & Pacific
VEN,Venezuela,Latin America & Caribbean
VNM,Vietnam,East Asia & Pacific
VGB,"Virgin Islands, British",Latin America & Caribbean
VIR,"Virgin Islands, U.S.",Latin America & Caribbean
WLF,Wallis and Futuna,
ESH,Western Sahara,
YEM,Yemen,Middle East & North Africa
ZMB,Zambia,Sub-Saharan Africa
ZWE,Zimbabwe,Sub-Saharan Africa
